What wrong with the system, outage
How to set up payment for child support it gives me error code, set up payment
Guardian, guardianship
can you pay with debit card, make payments
get a statement of account, account balance
Checking case status, case status
need a new card, new card
I have not received payment for this week, not received payment
I am trying to have my case moved to mississippi from PERSON_NAME, interstate
I would just like to know how to receive information on helping this parent begin the process of receiving child support, open a case
DIGITS N. Gloster Street Suite B Tupelo MS ZIPCODE; I tried callin the number listed online PHONE_NUMBER. I received a message that the number was not in service., contact human
so even if he is in college i quit at 21, emancipation
I will try that thank you, gratitude
I’m trying to help my son to fine out how much child support he owe and I cannot get anyone to talk to me can you please help me, talk to human
How do I find out if I will receive a payment from tax offset of non custodial parent, taxes
I dont know how much my child father make, estimate payments
check my case, check case
Online site to login, login
Can you tell me how to set up an online account, account information
how do you find names of people that owe child support?, arrears
How do I find out my current balance, account balance
I need recertification but when I go online I don’t see no recertifications applications, reecertification
What if the month is almost over and u still haven’t received but the money is on hold as if he’s behind and he’s not then how do you get your money, not received payment
Goodbye, end of conversation
online statement, documentation
I need a new child support debit card, card
How to do a moneygram, make payments
I need a phone number for child support in ms, talk to human
How to go online and access my account, login
how do I check if I have overpaid, payment history
It's not set up on neither of my accounts, account information
How can I find out if I have a warrant for non-payment?, noncompliance
attorney, legal
What’s the name of the app I can download to see when I get payments, account information
My name is PERSON_NAME and I was placed on child support by PERSON_NAME of Hazlehurst Ms. for a child who is 32 years PERSON_NAME and I would like to have a blood test., paternity
I was placed on child support for a child who is 32 years old who she told me was somebody else’s child., paternity
No I need to know I'm not getting child support there is 900 dollars that been taking out the father's check, not received payment
I haven’t received a child support card, card
Trying to get a form to unspent my liecent, license suspension
How to start a child support case?, open case
Why I’m not receiving my child support, not received payment
I need to get a new submission form to send with payment, make payment
why am I not getting my child support, not received payment
Why am I not getting my child supoort, not received payment
Check status, check status
Who can ask for an review, review case
How do I get a blood test, paternity
Can’t make payment, make payment
Can’t make payments, make payment
stop child support, stop child support
Request help, talk to human
can you add my wife to case in case im unable to talk at that time?, add user
How is net income calculated?, calculate income
Net income calculation, calculate income
How is net invome, calculate income
I haven't received a payment, not received payment
I HAVE I DID NOT GET A COMPLETE ANSWER FORM THEM, talk to human
I need to add an employer address and contact number to a case, update case
really you dont know anything then why com on here as if you can help. as soon as i hit enter thats your respnose. pitiful, complaint
Non-custodial parent placing themselves on child support., contest case
i wanted to know if the parents are not able to make court for redetermination will courts proceed or leave the order as is, contest case
How do I get an updated IWO for a new employee?, employer
Follow up, check status
child support review, review case
I would like to know when my payments will start again. He has been employed for 3 months now., not received payment
How do I get my PIN number, card information
find my case, case information
how long to hear from email?, talk to human
What is the email address for withholding forms, email
Need location to visit, office location
Yes very thankful, gratitude
change jobs, update case
okay thank you!!, gratitude
no im already receiving payments im trying to print of some forms from child support, forms
using epay, make payments
How to retrieve my award letter, award letter
I want to find how much I'm supposed to receive every month, estimate payments
I receive child support is there any way I can review my account online?, login
Trying to put someone on child support, open case
How can I find out the balance I owe on back child support, check balance
I am owed 9 months of child support, not received payments
Just wanted to see how much behind the other parent is, not received payments
I need to put in my job information, update case
I would just like to look over my case, review case
I want to no why my card haven't came in the mail yet it's been three weeks now, card
If the birth certificate was signed by the father do I still need full services?, open case
I haven't had a raised since DIGITS and I only gets 236 a month and the dad has a good job. What do I do I've already requested a raise and the dad said that he have a letter so what does that means, review case
Where do i check account balances, check balance
Tax offset payment, taxes
Is there a number I can call to check child support balance owed, what is owed
How to request modification, modification
My ex wife says she hasn't got her child support, not received payment
Stop child support, stop support
Custody, custody
I need to know how much back time is being owe to me, what is owed 
Statement, documents
snap as the cp, snap
do I pay 25 dollars if I reciev, fee
How often are childsupport hearings held in warren county, hearings
I haven’t received child support payments in 2 months, not received payments
Start new child support case, open case
Do I need to make an appointment to talk with someone about this, appointment
Thanks, gratitude
it is the responsibility of the father to put a medical plan on his children, medical
visit, visitation
visition, visitation
visitation rights, visitation
21 years old, emancipation
The child is 21 years of age, emancipation
Hi I need a fax number for child support services in PERSON_NAME mississippi, fax
Need email for submitting new address., email
Request form that says the parent receive payments, verification
Child support debit draft every month?, payments
I would like to know what app name for child support pay online?, app
Trying to find out if i have a open case, case information
I'm try to set up my email for snap, snap
Looking for the form I need to fill out to open a case., open case
Do you have to go to the office to apply or can it be done online?, open case
I'm tryna to renew my snap, snap
The “coupons” state that you have to pay fees. What exactly are the fees, fees
What does the fees mean on the child support payments, fees
How could he get his own child support card, card
How am I 368 dollars behind, behind payments
My ex husband has been fired and I need to know if/how many funds are remaining to be dispersed to me., termination
What’s the number to check., phone number
Notify of employment change, change information
Changed jobs, change information
I was wondering do they hold irs offset deposits for a certain amount of days., taxes
I need to set this up asap please PHONE_NUMBER, phone number
Phone number to check case status, phone number
Remove child support from my credit, credit
It’s the $93 fee I’m trying to pay, pay fee
See how much I have paid in for the year, statements
Just curious if I could check the balance of my child support card online?, login
How do I pursue further action on my case?, contempt action
Make Money order payable to?, address check
visitation rights, visitation
my last 3 payments have not been sent to my kids, not received payment
how to set up an account to recieve child support from my spouse, open case
No.  I need an account statement mailed to me., statement
Modification, modification
I need to know when I will receive a payment, time to receive
Is there an app to check my balance, app
My son father is in the Navy and I do not have a social on him will I still be able to receive child support?, military
yes i know but i don't have the order yet can i get one thru this website, open case
i was incarcarated, incarcaration
can i fax the apllication in, fax
i have submitted all of my information to start my case and i have not received any information about my case, check status
How long does a child receive child support?, emancipation
Please have supervisor call me, escalation
Please have a supervisor call me. Every person that has called me back has hung up because they are not trained to answer my question, escalation
I got a bill in the mail from mdhs-i don't have a case tin ms my child support is paid through the state of NY and im current 600 + and ow nothis and never have-, interstate
Need to have my case reviewed, review case
Check my card balance, check balance
I’m trying to make a payment through money gram but I need the information, make payment
Where do I go to see why I have not received my child support, not received payment
Email documents, email
My son’s father’s tax’s were offset due owing child support. Is there any way to check if the state has received money on my behalf?, taxes
How long does it take to receive the money?, time to receive
Email for call center, email
What is the address to get there?, office locations
My sons dad just got out of jail. He hasn’t paid since April. What’s the next step?, incarcaration
I just need a new card sent, card
Phone number to mdhs child support number to the card, card
Wht time does it close, office hours
Checking my case, case status
Call them, phone number
I need the PERSON_NAME county Ms location and phone number please, office location
I'm PERSON_NAME I was wanting to check on a case I have with PERSON_NAME?, case status
I am a non custodial parent.  Is there anyway online that i can see what i owe on child support/back child support?, what is owed
What is the purpose of the fee, fee
Can I get a print of the CS emailed to me or do I have to go to ofice?, documents
I need tuelo ms phone number for mdhs, contact number
I haven’t received my payment this month, not received payment
Haven't got child support in 7 months, not received payment
My case was accidentally closed because I did know I had an appointment. I need my case reopened., reopen
Child Support Center email, email
Email address?, email
Can I still collect unpaid support from my court ordered from my divorce, what is owed
I did not receive any payments after DIGITS, not received payment
What kind of information do I need to send to MoneyGram, make payment
I trying to get a copy of my child support orders, documentation
What email address do I need to upload documents. To prove my identity, email
Food stamps, SNAP
Food stamp, SNAP
Who do I make the check payable to?, address check
Transfer my case from Tennessee, interstate
Modifications, modification
formal motion requesting a modification due to changed circumstances., modification
How long will my child receive child support?, emancipation
My child is about to be 18 but he is special needs and will be in school until he is 21. Will he continue to receive child support until he is 21?, emancipation
I was wondering if the father of my kids child support change if he moved to a different state, interstate
What can be done if you have not received any payments since last year and you know that the noncustodial parent is working?, not received payment
Customer service number, talk to human
I want to check my online account, check account
I am trying to get my payments for the last two months for verification for SNAP, snap
No that answers my question, gratitude
Does Mississippi offer free paternity test by going through DHS?, paternity
If I want to put my child father on child support can I request for him just to pay 50 dollars a month cause he’s the one providing for our family, modification
Modification, modification
I need a copy of the court documents concerning my case, documentation
Why did i get a card when my child support is closed?, card
Checking my account, account status
I am looking to change banks where I have been receiving my child support?, update payment information
I recently had a back payment of DIGITS dollars.i have recently sent a payment of DIGITS .can i get my liscense back, license reinstatement
Check the status of my child care, check status
can i file for a case online?, open case
How to find old records, documentation
I haven't  recieved child support payment for this month, not received payment
Check status of case, check status
How long does it take to receive funds after applying for child support, time to receive
How does it take when I apply to receive benefits, time to receive
how can i review my case, review case
I need the number from STREET_ADDRESS corinth ms, phone number
Do you have their email address?, email address
Can I speak to an agent?, talk to human
Why are y'all taking so much out of my check, review case
Customer service number?, phone number
Who do I write the check out to, address check
When an 18 y/o, emancipation
I want to check annoys case to see if there is money available, case status
ok thank you, gratitude
social security said that they can take my check for backpay is it true, backpay
Lost a job, termination
Lost of job, termination
Look up current account, account information
how do i check if a balance is owed to me on my account, account information
Will dhs take child support from a bank account if it is behind, backpay
Money gram info, make payments
Looking to check on my case to see if they have found out anything, case update
Not yet I don’t. Thanks, gratitude
case review, review case
Child support verification forms, verification
No thanks I will call, gratitude
That's all., completed conversation
Whats the number to check your post date of your funds in ms, phone number
Houseing income verification, verification
Epicard, card
May I have the customer service number, phone number 
What can be done if so filed child support but never received court date, open case
The money is coming out of my check but not being processed to the card, not received payment
Suggestions on how to collect the back payment, enforcement
How to get court order, enforcement
After payment is received how long will it take for custodial parent to get funds, time to receive
How long does it take to receive a payment, time to receive
Can u check my account, account information
How do I find out my balance?, account information
Need to speak with someone, talk to human
Paternity test, paternity
I. trying to reapply for snap benefits, snap
how to complete a change of address, update adddress
When will I receive payments after judge signs child support order, time to receive
What percent of my income is used to provide medical support?, medical
Address change, change address
How to reapply for snap online, snap
Order a new card, card
Just need the DIGITS customer service number, phone number
I was wondering can I recieved back time child support, backpay
when was the last deposit posted to my account, account information
Who do I make the money order out to in Hernando Ms, address check
Need an appt, make appointment
recertification form for snap, snap
How do I check my child support balance using my social or account number, account information
I NEED COPIAH COUNTY DVISION OF CHILD SUPPORT EMPLOYEE INCOME WITHOLDIN TRANSMITTAL FORMS, forms
tax, taxes
nonpayment, enforcement
I forgot my mdhs login information, login
Child support enforcement cooperation verification request form, enforcement
Modification, modification
i am trying to get help with child care, child care
Is there a way I can check payment online?, account information
How long does it take to receive child support?, time to receive
I moved and I had my address change and updated at the post office so will child support know my address is change or do I have to call? Because I should’ve receiving child support soon and don’t want them to send it to my old address, address change
I need to speak to someone about a transfer in my child support from LA to MS, interstate
Need to file a modification request, modification
About 3 weeks ago I sent a letter in on one of cases requesting a review and i still havent heard anything yet, case status
My mother put child support on the card last week and we have yet received any money, not received payment
How do I get a PIN number?, card
Checking my balance, account information
How can I check my online information, account information
No ty, gratitude
I need a new child support debt card my old one got stolen, card
Mississippi verification for child support services form, verification
I need the phone number for the legal department of child support, phone number
Legal services number, phone number
That's all and thanks in advance, gratitude
How can I track my back time money from child support?, backpay
Is there an online filing option, online assistance
Add a child, modification
Can I submit my child support documentation online, online assistance
Verification letter, verification
HI my name is PERSON_NAME. I'm trying to get a update on my case of Hattiesburg ms, update case
I would like to find out more about 2 cases open with the same child on the case, error
address change, address change
I need a change of address on my child support case, address change
I need to know where my taxes hadn't been took off my back child support, taxes
My son is 19 and no longer in school do he still get child support, emancipation
Trying to check and see about a payment, account information
I was wanting to know if I had to appear with my kids father to court, court
New card, card
Send me the paperwork to my email I can fill out online and submit, forms
How often is my case updated, update case
How to login to my case, account information
What is the DIGITS to check  balance, account information
Customer service number for ms, phone number
Please send information via fax to: PHONE_NUMBER ATTN: PERSON_NAME Terlouw - Payroll, employer
How do I find out how much back child support I owe?, arrears
I need to change the amount i am withholding from employee's check and change the amount I am sending in, employer
When the dad change jobs who to report it to, update case
There was a DNA test done and I was wanting to know if the results were in, paternity
Customer service number, phone number
Must pay child support until 21 years old no matter what., emancipation
I haven’t received my child support card, card
yes i need my case numbetr, case information
Child support phone number, phone number
I can't check my balance it send me to customer service, account information
Need to check balance, account information
I am a part of the snap program and the automatic service said I would automatically qualify for child support. Do I still owe a fee, snap
No just need help applying for bridge card, card
My case was terminated but you all still talking money out my check why., termination
They are taking 600 a month from the absent father but I haven’t receive any money, not received payment
Is there a way I can see some that states what I recieve for child support, verification
Is there a way I can email my caseworker, email
When will payment post to debit card after payment done online?, time to receive
new card, card
Email, email
laws, legal
Passport, passport 
Can I get my passport denial dismissed, passport
Can I get the information sent to my email address, email
PHONE_NUMBER or you can email me, email
What is the annual fee, fee
What is location services, location services
No I think this is what I needed. Thank you, gratitude
Mississippi child support verification form, verification
my case is two weeks old and i havent heard anything about case, case update
I was trying to inquire about," elder abuse " ?
I wanted to check the status of my account, check status
son joined military, military
military, military
